"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 02 15:17:39 BDT 2024","Sun Jun 02 15:17:45 BDT 2024","6056","All Test Suite","D:/SQA/Maven Project/WebAutomation-WafiLife/src/test/java/testcases","testcases.TestLogout","testcases.TestLogout","logOut","Sign out from the logged account","Test Description: Sign Out from account"
"passed","Sun Jun 02 15:17:33 BDT 2024","Sun Jun 02 15:17:38 BDT 2024","4926","All Test Suite","D:/SQA/Maven Project/WebAutomation-WafiLife/src/test/java/testcases","testcases.TestMyCartPage","testcases.TestMyCartPage","myCartPage","My Cart Page","This test will try to go to my cart page"
"passed","Sun Jun 02 15:17:17 BDT 2024","Sun Jun 02 15:17:21 BDT 2024","3743","All Test Suite","D:/SQA/Maven Project/WebAutomation-WafiLife/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithValidCredentials"," User log in with valid Credentials"," Test Add using allure: User log in with valid Credentials"
"passed","Sun Jun 02 15:17:38 BDT 2024","Sun Jun 02 15:17:39 BDT 2024","863","All Test Suite","D:/SQA/Maven Project/WebAutomation-WafiLife/src/test/java/testcases","testcases.TestShippingPage","testcases.TestShippingPage","fillUpShippingForm","Shipping Page Test"," Test Description:This test will try to browse the shipping page andthen fill up the shipping info"
"passed","Sun Jun 02 15:17:21 BDT 2024","Sun Jun 02 15:17:33 BDT 2024","12135","All Test Suite","D:/SQA/Maven Project/WebAutomation-WafiLife/src/test/java/testcases","testcases.TestSelectProduct","testcases.TestSelectProduct","selectProduct","Select a book after filtering writer and categories"," Test Description : This test will try to select a writer menue,go to next page,search for specific writer and selects a book"
